Energy (keV),MAC
20.0,0.31221658898763854
22.0,0.3309158576309178
24.0,0.09931767556047118
26.0,0.1303678895876888
28.0,0.007990145003758076
30.0,0.1289677237563561
32.0,0.06084606381736209
34.0,0.003403734394024596
36.0,-0.03863121040787208
38.0,-0.07624247766832158
40.0,0.007792473635566852
42.0,-0.014589167270481328
44.0,-0.035332975268048836
46.0,-0.053852162845504786
48.0,-0.06742452056722645
50.0,-0.08191734762100066
52.0,0.028695588334137212
54.0,0.01959168787177616
56.0,0.010708243369043875
58.0,0.0027295262921766704
60.0,-0.004453254103856486
62.0,-0.01027448981925946
64.0,-0.01647817986510367
66.0,-0.022000760659137038
68.0,-0.027002569356336395
70.0,0.0570889560403011
72.0,0.06509287033255305
74.0,0.06778692267777861
76.0,0.06341901803141507
78.0,0.05921233941611211
80.0,0.05405389619795561
82.0,0.0484379027231407
84.0,0.044484718142418965
86.0,0.040022013292491936
88.0,0.03595530228182418
90.0,0.07796795895774401
92.0,0.07643289065074621
94.0,0.10101397749146669
96.0,0.09923754919766621
98.0,0.09597317669562803
100.0,0.09229273973537415
